feature_id,gadm_admin.GID_0,x,y
BEN.12.5_1,BEN,1.92232189,7.42939726
BEN.12.6_1,BEN,2.47829123,7.07890539
BEN.12.7_1,BEN,2.19480193,7.22859173
BEN.12.8_1,BEN,2.39293863,7.27173748
BEN.12.9_1,BEN,2.18755566,7.01461807
BFA.1.1_1,BFA,-3.07339703,11.722246
BFA.1.2_1,BFA,-4.17110063,12.25402256
BFA.1.3_1,BFA,-3.88082219,12.92416169
BFA.1.4_1,BFA,-3.41695482,12.20077731
BFA.1.5_1,BFA,-3.0243245499999998,12.69649731
BFA.1.6_1,BFA,-3.01601025,13.24945376
BFA.2.1_1,BFA,-4.43012558,10.29819738
BFA.2.2_1,BFA,-5.26680853,10.61735894
BFA.7.1_1,BFA,-1.5022751,12.32254882
BFA.3.1_1,BFA,-0.44957124,11.50980793
BFA.3.2_1,BFA,0.20164552,11.41486715
BFA.3.3_1,BFA,-0.31567412,12.19320018
BFA.4.1_1,BFA,-1.58624147,13.47028291
BFA.4.2_1,BFA,-0.5086724,13.18067989
BFA.4.3_1,BFA,-1.03040376,13.2421635
BFA.5.1_1,BFA,-2.14577739,12.31576465
BFA.5.2_1,BFA,-2.61381885,12.21221862
BFA.5.3_1,BFA,-2.22313715,11.29328558
BFA.5.4_1,BFA,-1.88904279,11.63459617
BFA.6.1_1,BFA,-1.45262552,11.96059018
BFA.6.2_1,BFA,-1.2055846,11.20393515
BFA.6.3_1,BFA,-0.97918535,11.57163639
BFA.8.1_1,BFA,0.01949636,12.94399676
BFA.8.2_1,BFA,0.62900142,12.14316982
BFA.8.3_1,BFA,0.73060067,12.7484011
BFA.8.4_1,BFA,0.88492525,11.43192104
BFA.8.5_1,BFA,1.74035037,12.0700705
BFA.9.1_1,BFA,-4.2554497,11.29173315
BFA.9.2_1,BFA,-4.97868343,11.42402745
BFA.9.3_1,BFA,-3.5187573,11.43953765
BFA.10.1_1,BFA,-2.1704491,13.9380698
BFA.10.2_1,BFA,-2.16915773,12.90050882
BFA.10.3_1,BFA,-2.38480242,13.60318319
BFA.10.4_1,BFA,-2.37578072,13.19522863
BFA.11.1_1,BFA,-0.77384598,12.25263658
BFA.11.2_1,BFA,-1.81271665,12.62572532
BFA.11.3_1,BFA,-1.30717933,12.63935038
BFA.12.1_1,BFA,-0.33229165,14.65299214
BFA.12.2_1,BFA,-0.0321881,13.94794734
